"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"MIL","MIL @ BKN","11/02/2015","W","48","112.0","106.7","5.3","63.2","1.71","19.0","31.6","66.7","50.6","15.2","58.2","61.0","91.00","58.0"
"SAS","SAS @ NYK","11/02/2015","W","48","102.2","91.3","10.9","53.8","1.50","16.9","25.6","67.8","50.0","15.2","51.9","54.3","92.00","60.8"
"PHI","PHI vs. CLE","11/02/2015","L","48","105.3","110.3","-5.0","57.9","1.57","16.8","27.5","70.7","46.7","14.7","48.8","52.6","96.00","42.9"
"LAC","LAC vs. PHX","11/02/2015","W","48","104.1","97.0","7.1","54.1","1.82","16.4","8.7","67.7","43.2","11.2","50.6","56.0","98.50","55.9"
"BKN","BKN vs. MIL","11/02/2015","L","48","106.7","112.0","-5.3","58.3","1.17","16.7","33.3","68.4","49.4","20.0","49.4","54.1","91.00","42.0"
"OKC","OKC @ HOU","11/02/2015","L","48","101.0","105.8","-4.8","42.5","0.68","12.4","35.4","77.4","57.4","24.0","53.6","56.0","104.00","47.0"
"MIN","MIN vs. POR","11/02/2015","L","48","101.0","105.0","-4.0","64.7","1.47","16.4","25.5","67.3","47.5","15.0","44.9","52.5","100.50","51.4"
"TOR","TOR @ DAL","11/03/2015","W","48","104.1","93.8","10.3","48.6","1.13","14.0","31.1","70.2","52.9","16.3","48.2","54.6","97.50","60.8"
"NOP","NOP vs. ORL","11/03/2015","L","48","91.3","100.0","-8.7","71.9","1.64","16.5","21.7","77.1","46.3","13.6","42.2","46.5","103.00","45.0"
"MEM","MEM @ SAC","11/03/2015","W","48","106.2","92.7","13.5","57.5","1.35","17.2","32.6","78.8","57.1","17.5","50.0","54.8","96.50","62.5"
"CHA","CHA vs. CHI","11/03/2015","W","48","130.0","106.1","23.9","55.3","2.60","18.8","31.1","84.0","58.9","10.0","59.3","64.3","99.50","63.2"
"ORL","ORL @ NOP","11/03/2015","W","48","100.0","91.3","8.7","57.1","1.33","17.4","22.9","78.3","53.7","17.5","50.6","54.1","103.00","55.0"
"DAL","DAL vs. TOR","11/03/2015","L","48","93.8","104.1","-10.3","60.6","1.25","15.0","29.8","68.9","47.1","16.5","42.4","46.9","97.50","39.2"
"IND","IND @ DET","11/03/2015","W","48","98.9","85.4","13.5","55.3","1.31","16.0","30.0","58.9","45.3","16.8","47.2","50.4","95.50","65.2"
"MIA","MIA vs. ATL","11/03/2015","L","48","94.8","100.0","-5.2","34.2","0.68","10.4","31.4","66.1","49.5","19.6","47.1","49.4","97.50","43.8"
"LAL","LAL vs. DEN","11/03/2015","L","48","107.9","120.0","-12.1","50.0","1.64","13.6","26.9","68.2","45.8","10.9","45.3","53.1","100.50","39.3"
"SAC","SAC vs. MEM","11/03/2015","L","48","92.7","106.2","-13.5","58.6","1.21","13.7","21.2","67.4","42.9","14.6","43.9","48.6","96.50","37.5"
"DEN","DEN @ LAL","11/03/2015","W","48","120.0","107.9","12.1","69.8","2.00","20.8","31.8","73.1","54.2","15.0","54.7","60.8","100.50","60.7"
"DET","DET vs. IND","11/03/2015","L","48","85.4","98.9","-13.5","42.4","0.61","10.6","41.1","70.0","54.7","24.0","41.3","43.9","95.50","34.8"
"ATL","ATL @ MIA","11/03/2015","W","48","100.0","94.8","5.2","67.6","1.56","17.9","33.9","68.6","50.5","16.3","45.0","49.2","97.50","56.2"
"CHI","CHI @ CHA","11/03/2015","L","48","106.1","130.0","-23.9","59.1","2.00","19.7","16.0","68.9","41.1","13.1","56.7","56.1","99.50","36.8"
"CLE","CLE vs. NYK","11/04/2015","W","48","101.1","90.5","10.5","63.6","1.62","16.2","30.2","79.2","54.7","13.7","44.0","49.4","95.00","59.1"
"BKN","BKN @ ATL","11/04/2015","L","48","92.6","108.6","-16.0","66.7","1.26","17.9","36.2","73.2","53.4","20.2","46.4","49.0","93.50","40.5"
"PHI","PHI @ MIL","11/04/2015","L","48","94.6","98.9","-4.3","67.6","1.21","17.7","33.3","77.8","56.9","20.7","45.7","49.7","92.00","50.5"
"IND","IND vs. BOS","11/04/2015","W","48","103.1","103.2","-0.1","51.4","1.29","12.9","43.3","65.3","53.2","14.4","42.9","48.2","96.00","49.3"
"ORL","ORL @ HOU","11/04/2015","L","53","109.6","115.5","-5.9","60.9","1.75","19.6","27.7","58.0","43.3","15.4","54.4","57.4","93.74","50.2"
"SAC","SAC @ PHX","11/04/2015","L","48","96.0","116.8","-20.8","62.5","1.32","18.5","19.6","65.9","41.4","18.8","54.2","54.3","101.00","37.2"
"ATL","ATL vs. BKN","11/04/2015","W","48","108.6","92.6","16.0","73.0","1.80","20.8","26.8","63.8","46.6","16.1","53.9","58.3","93.50","59.5"
"LAC","LAC @ GSW","11/04/2015","L","48","108.0","110.9","-2.9","55.8","1.85","17.6","25.5","73.5","50.0","13.0","53.4","55.3","100.50","45.9"
"GSW","GSW vs. LAC","11/04/2015","W","48","110.9","108.0","2.9","71.8","2.33","19.9","26.5","74.5","50.0","11.9","51.8","56.8","100.50","54.1"
"BOS","BOS @ IND","11/04/2015","L","48","103.2","103.1","0.1","57.1","1.05","15.2","34.7","56.7","46.8","20.0","48.2","52.9","96.00","50.7"
"PHX","PHX vs. SAC","11/04/2015","W","48","116.8","96.0","20.8","60.0","1.35","19.3","34.1","80.4","58.6","19.8","62.7","63.7","101.00","62.8"
"UTA","UTA vs. POR","11/04/2015","L","48","97.9","114.9","-17.0","27.3","1.00","7.3","34.4","59.1","44.8","9.6","40.3","44.9","94.00","41.5"
"HOU","HOU vs. ORL","11/04/2015","W","53","115.5","109.6","5.9","66.7","1.40","18.5","42.0","72.3","56.7","19.4","54.0","57.8","93.74","49.8"
"SAS","SAS @ WAS","11/04/2015","L","48","100.0","102.0","-2.0","56.8","1.00","16.0","27.3","87.5","58.7","21.2","50.0","55.1","99.50","46.8"
"POR","POR @ UTA","11/04/2015","W","48","114.9","97.9","17.0","26.8","0.58","8.9","40.9","65.6","55.2","20.2","60.4","59.3","94.00","58.5"
"OKC","OKC vs. TOR","11/04/2015","L","48","101.0","106.2","-5.2","66.7","1.37","19.4","24.4","66.0","46.3","19.6","52.4","55.6","97.00","48.2"
"TOR","TOR @ OKC","11/04/2015","W","48","106.2","101.0","5.2","36.4","0.80","9.5","34.0","75.6","53.7","15.5","44.9","53.6","97.00","51.8"
"MIL","MIL vs. PHI","11/04/2015","W","48","98.9","94.6","4.3","68.6","2.40","18.8","22.2","66.7","43.1","10.9","45.3","48.7","92.00","49.5"
"WAS","WAS vs. SAS","11/04/2015","W","48","102.0","100.0","2.0","64.3","2.70","20.5","12.5","72.7","41.3","10.0","52.9","54.7","99.50","53.2"
"NYK","NYK @ CLE","11/04/2015","L","48","90.5","101.1","-10.5","48.5","1.23","13.2","20.8","69.8","45.3","13.7","44.0","47.5","95.00","40.9"
"DEN","DEN vs. UTA","11/05/2015","L","48","92.3","106.7","-14.4","57.1","1.14","13.3","28.0","72.0","50.0","15.4","42.4","48.3","90.50","46.2"
"MEM","MEM @ POR","11/05/2015","L","48","107.9","130.7","-22.8","54.1","2.00","16.7","25.0","64.6","45.7","11.2","52.6","55.7","88.50","43.7"
"UTA","UTA @ DEN","11/05/2015","W","48","106.7","92.3","14.4","62.2","2.09","18.1","28.0","72.0","50.0","12.2","50.0","51.9","90.50","53.8"
"POR","POR vs. MEM","11/05/2015","W","48","130.7","107.9","22.8","65.9","3.22","21.6","35.4","75.0","54.3","10.2","59.2","60.0","88.50","56.3"
"DAL","DAL vs. CHA","11/05/2015","L","48","94.9","109.1","-14.1","53.1","1.31","13.5","20.8","80.4","48.5","13.1","42.7","50.1","99.00","45.3"
"MIA","MIA @ MIN","11/05/2015","W","48","98.0","87.5","10.5","37.8","0.88","11.7","17.8","72.7","48.0","16.3","51.3","55.2","97.00","61.0"
"CHI","CHI vs. OKC","11/05/2015","W","48","111.8","106.5","5.3","50.0","3.33","15.6","30.8","77.1","53.0","6.5","48.3","52.4","92.50","51.8"
"MIN","MIN vs. MIA","11/05/2015","L","48","87.5","98.0","-10.5","53.3","1.00","12.6","27.3","82.2","52.0","16.7","37.6","44.4","97.00","39.0"
"CHA","CHA @ DAL","11/05/2015","W","48","109.1","94.9","14.1","43.2","1.73","15.1","19.6","79.2","51.5","11.1","52.8","56.0","99.00","54.7"
"OKC","OKC @ CHI","11/05/2015","L","48","106.5","111.8","-5.3","55.3","2.33","17.1","22.9","69.2","47.0","9.8","48.2","52.8","92.50","48.2"
"BOS","BOS vs. WAS","11/06/2015","W","48","109.3","90.7","18.5","54.5","1.41","16.0","31.6","74.1","52.3","15.7","51.5","55.1","108.00","62.6"
"CLE","CLE vs. PHI","11/06/2015","W","48","114.9","108.5","6.4","64.4","1.71","21.2","30.4","81.0","54.5","18.1","56.8","57.9","94.00","52.1"
"GSW","GSW vs. DEN","11/06/2015","W","48","110.2","97.2","13.0","87.0","2.00","24.5","30.8","73.2","52.8","18.5","58.6","59.0","107.50","58.7"
"NOP","NOP vs. ATL","11/06/2015","L","48","112.7","118.6","-5.9","71.4","2.31","21.6","16.3","78.9","45.7","12.7","56.0","60.8","102.00","45.5"
"DET","DET @ PHX","11/06/2015","W","48","99.0","92.0","7.0","40.5","0.94","12.2","15.9","73.7","48.5","15.8","55.4","55.7","100.50","60.0"
"PHI","PHI @ CLE","11/06/2015","L","48","108.5","114.9","-6.4","56.1","1.44","18.4","19.0","69.6","45.5","17.0","58.2","59.6","94.00","47.9"
"HOU","HOU @ SAC","11/06/2015","W","48","110.5","105.8","4.7","57.5","1.05","16.2","29.8","69.6","51.5","21.0","57.9","61.8","104.50","50.7"
"MIA","MIA @ IND","11/06/2015","L","48","95.6","97.8","-2.2","58.3","1.75","17.5","17.0","75.5","46.9","13.2","48.1","50.2","91.50","49.5"
"LAL","LAL @ BKN","11/06/2015","W","48","102.0","97.0","4.9","42.4","0.88","11.0","25.5","67.3","48.0","15.7","46.8","54.4","101.50","54.1"
"WAS","WAS @ BOS","11/06/2015","L","48","90.7","109.3","-18.5","63.9","0.96","16.1","25.9","68.4","47.7","22.2","45.5","49.9","108.00","37.4"
"BKN","BKN vs. LAL","11/06/2015","L","48","97.0","102.0","-4.9","52.5","1.31","15.0","32.7","74.5","52.0","15.8","44.6","48.1","101.50","45.9"
"TOR","TOR @ ORL","11/06/2015","L","48","98.9","105.7","-6.9","43.3","1.30","10.7","36.7","71.7","51.9","11.4","37.8","44.0","87.50","43.1"
"MIL","MIL @ NYK","11/06/2015","W","48","106.5","100.0","6.5","60.0","1.75","16.2","34.0","60.8","48.0","12.9","45.1","52.8","92.50","56.7"
